,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,0.49,3.86,0.32,114.0,0.61,,,,,,,,
1,0.49,3.87,0.34,209.0,0.61,,,,,,,,
2,0.49,3.89,0.36,214.0,0.61,,,,,,,,
3,,,,,,,,,,,,,
4,1.08,3.85,0.31,185.0,0.34,,,,,,,,
5,1.08,3.89,0.37,228.0,0.34,,,,,,,,
6,1.08,3.9,0.34,124.0,0.34,,,,,,,,
7,,,,,,,,,,,,,
8,3.17,3.91,0.32,216.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on MISC. There was a significant effect of IV Area of study on DV MISC at the p<.05 level [F(4, 532)=3.17, p=0.01]."
9,3.17,3.92,0.25,26.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on MISC. There was a significant effect of IV Area of study on DV MISC at the p<.05 level [F(4, 532)=3.17, p=0.01]."
10,3.17,3.88,0.32,160.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on MISC. There was a significant effect of IV Area of study on DV MISC at the p<.05 level [F(4, 532)=3.17, p=0.01]."
11,3.17,3.72,0.39,36.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on MISC. There was a significant effect of IV Area of study on DV MISC at the p<.05 level [F(4, 532)=3.17, p=0.01]."
12,3.17,3.83,0.4,99.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on MISC. There was a significant effect of IV Area of study on DV MISC at the p<.05 level [F(4, 532)=3.17, p=0.01]."
13,,,,,,,,,,,,,
14,2.14,3.86,0.34,434.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
15,2.14,3.37,1.17,2.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
16,2.14,3.95,0.3,37.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
17,2.14,3.99,0.2,28.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
18,2.14,3.81,0.32,21.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
19,2.14,4.04,0.43,7.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
20,2.14,3.94,0.16,8.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on MISC. There was a significant effect of IV Job classification on DV MISC at the p<.05 level [F(6, 530)=2.14, p=0.05]."
21,,,,,,,,,,,,,
22,2.49,3.86,0.37,156.0,0.06,,,,,,,,
23,2.49,3.84,0.35,155.0,0.06,,,,,,,,
24,2.49,3.89,0.32,174.0,0.06,,,,,,,,
25,2.49,3.98,0.32,52.0,0.06,,,,,,,,
26,,,,,,,,,,,,,
27,1.67,3.95,0.37,69.0,0.16,,,,,,,,
28,1.67,3.81,0.35,94.0,0.16,,,,,,,,
29,1.67,3.93,0.34,36.0,0.16,,,,,,,,
30,1.67,3.88,0.35,176.0,0.16,,,,,,,,
31,1.67,3.86,0.4,96.0,0.16,,,,,,,,
32,,,,,,,,,,,,,
33,6.71,3.97,0.35,175.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on MISC. There was a significant effect of IV Supervision format on DV MISC at the p<.05 level [F(3, 474)=6.71, p=0.0]."
34,6.71,3.55,0.8,4.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on MISC. There was a significant effect of IV Supervision format on DV MISC at the p<.05 level [F(3, 474)=6.71, p=0.0]."
35,6.71,3.83,0.35,264.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on MISC. There was a significant effect of IV Supervision format on DV MISC at the p<.05 level [F(3, 474)=6.71, p=0.0]."
36,6.71,3.84,0.33,35.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on MISC. There was a significant effect of IV Supervision format on DV MISC at the p<.05 level [F(3, 474)=6.71, p=0.0]."
37,,,,,,,,,,,,,
38,5.71,3.85,0.38,311.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on MISC. There was a significant effect of IV Number of candidates on DV MISC at the p<.05 level [F(3, 394)=5.71, p=0.0]."
