group1,group2,meandiff,lower,upper,reject
Behavior analysis,Counseling,-0.0489,-0.3258,0.228,False
Behavior analysis,Education,-0.1388,-0.278,0.0003,False
Behavior analysis,Other,-0.2468,-0.4869,-0.0066,True
Behavior analysis,Psychology,-0.017,-0.1789,0.1449,False
Counseling,Education,-0.0899,-0.372,0.1922,False
Counseling,Other,-0.1978,-0.5412,0.1455,False
Counseling,Psychology,0.0319,-0.2621,0.3259,False
Education,Other,-0.1079,-0.354,0.1382,False
Education,Psychology,0.1218,-0.0487,0.2924,False
Other,Psychology,0.2298,-0.0299,0.4894,False
