,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,0.04,4.24,0.53,114.0,0.96,,,,,,,,
1,0.04,4.23,0.45,209.0,0.96,,,,,,,,
2,0.04,4.24,0.47,214.0,0.96,,,,,,,,
3,,,,,,,,,,,,,
4,1.5,4.19,0.5,185.0,0.22,,,,,,,,
5,1.5,4.27,0.46,228.0,0.22,,,,,,,,
6,1.5,4.26,0.46,124.0,0.22,,,,,,,,
7,,,,,,,,,,,,,
8,0.89,4.25,0.49,216.0,0.47,,,,,,,,
9,0.89,4.38,0.4,26.0,0.47,,,,,,,,
10,0.89,4.22,0.44,160.0,0.47,,,,,,,,
11,0.89,4.16,0.6,36.0,0.47,,,,,,,,
12,0.89,4.23,0.48,99.0,0.47,,,,,,,,
13,,,,,,,,,,,,,
14,1.0,4.23,0.49,434.0,0.42,,,,,,,,
15,1.0,4.0,1.0,2.0,0.42,,,,,,,,
16,1.0,4.35,0.44,37.0,0.42,,,,,,,,
17,1.0,4.27,0.43,28.0,0.42,,,,,,,,
18,1.0,4.1,0.37,21.0,0.42,,,,,,,,
19,1.0,4.43,0.29,7.0,0.42,,,,,,,,
20,1.0,4.34,0.19,8.0,0.42,,,,,,,,
21,,,,,,,,,,,,,
22,0.62,4.22,0.49,156.0,0.6,,,,,,,,
23,0.62,4.21,0.49,155.0,0.6,,,,,,,,
24,0.62,4.25,0.46,174.0,0.6,,,,,,,,
25,0.62,4.3,0.43,52.0,0.6,,,,,,,,
26,,,,,,,,,,,,,
27,1.28,4.17,0.63,69.0,0.28,,,,,,,,
28,1.28,4.18,0.49,94.0,0.28,,,,,,,,
29,1.28,4.19,0.43,36.0,0.28,,,,,,,,
30,1.28,4.3,0.47,176.0,0.28,,,,,,,,
31,1.28,4.24,0.52,96.0,0.28,,,,,,,,
32,,,,,,,,,,,,,
33,0.88,4.28,0.5,175.0,0.45,,,,,,,,
34,0.88,4.12,0.72,4.0,0.45,,,,,,,,
35,0.88,4.21,0.51,264.0,0.45,,,,,,,,
36,0.88,4.2,0.48,35.0,0.45,,,,,,,,
37,,,,,,,,,,,,,
38,3.54,4.22,0.55,311.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.06. There was a significant effect of IV Number of candidates on DV PECC 5.06 at the p<.05 level [F(3, 394)=3.54, p=0.01]."
39,3.54,4.77,0.31,4.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.06. There was a significant effect of IV Number of candidates on DV PECC 5.06 at the p<.05 level [F(3, 394)=3.54, p=0.01]."
40,3.54,4.34,0.53,73.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.06. There was a significant effect of IV Number of candidates on DV PECC 5.06 at the p<.05 level [F(3, 394)=3.54, p=0.01]."
41,3.54,3.89,0.7,10.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.06. There was a significant effect of IV Number of candidates on DV PECC 5.06 at the p<.05 level [F(3, 394)=3.54, p=0.01]."
42,,,,,,,,,,,,,
43,0.69,4.21,0.58,253.0,0.56,,,,,,,,
44,0.69,4.36,0.59,16.0,0.56,,,,,,,,
45,0.69,4.28,0.55,82.0,0.56,,,,,,,,
46,0.69,4.32,0.6,15.0,0.56,,,,,,,,
47,,,,,,,,,,,,,
48,2.18,4.19,0.61,86.0,0.07,,,,,,,,
49,2.18,4.19,0.57,191.0,0.07,,,,,,,,
50,2.18,4.44,0.39,16.0,0.07,,,,,,,,
51,2.18,4.43,0.56,20.0,0.07,,,,,,,,
52,2.18,4.34,0.53,63.0,0.07,,,,,,,,
53,,,,,,,,,,,,,
54,5.22,3.77,0.48,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.06. There was a significant effect of IV Scheduled hours on DV PECC 5.06 at the p<.05 level [F(4, 353)=5.22, p=0.0]."
55,5.22,4.17,0.59,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.06. There was a significant effect of IV Scheduled hours on DV PECC 5.06 at the p<.05 level [F(4, 353)=5.22, p=0.0]."
56,5.22,4.42,0.53,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.06. There was a significant effect of IV Scheduled hours on DV PECC 5.06 at the p<.05 level [F(4, 353)=5.22, p=0.0]."
57,5.22,4.67,0.38,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.06. There was a significant effect of IV Scheduled hours on DV PECC 5.06 at the p<.05 level [F(4, 353)=5.22, p=0.0]."
58,5.22,4.32,0.55,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.06. There was a significant effect of IV Scheduled hours on DV PECC 5.06 at the p<.05 level [F(4, 353)=5.22, p=0.0]."
59,,,,,,,,,,,,,
60,0.83,4.13,0.6,29.0,0.5,,,,,,,,
61,0.83,4.2,0.59,181.0,0.5,,,,,,,,
62,0.83,4.28,0.54,64.0,0.5,,,,,,,,
63,0.83,4.31,0.52,70.0,0.5,,,,,,,,
64,0.83,4.26,0.54,32.0,0.5,,,,,,,,
65,,,,,,,,,,,,,
66,0.76,4.21,0.6,200.0,0.47,,,,,,,,
67,0.76,4.2,0.63,27.0,0.47,,,,,,,,
68,0.76,4.28,0.53,139.0,0.47,,,,,,,,
69,,,,,,,,,,,,,
70,2.41,4.3,0.57,69.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.06. There was a significant effect of IV RBT supervision % on DV PECC 5.06 at the p<.05 level [F(4, 361)=2.41, p=0.05]."
71,2.41,4.27,0.57,38.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.06. There was a significant effect of IV RBT supervision % on DV PECC 5.06 at the p<.05 level [F(4, 361)=2.41, p=0.05]."
72,2.41,4.41,0.51,43.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.06. There was a significant effect of IV RBT supervision % on DV PECC 5.06 at the p<.05 level [F(4, 361)=2.41, p=0.05]."
