,Area of study,Job classification,Place of employment,State,Supervision mode,Supervision format,Number of candidates,Past 12 months candidates,Allotted hours,Scheduled hours,Number of clients,Who dictates caseload,RBT supervision %
Literature for new competency area,0.826,0.514,0.034,0.134,0.267,0.933,0.046,0.051,0.107,0.022,0.794,0.295,0.883
Professional groups,0.047,0.21,0.011,0.029,0.233,0.28,0.629,0.87,0.015,0.011,0.036,0.066,0.179
Outside training area - credentialing requirements,0.823,0.569,0.422,0.006,0.927,0.868,0.679,0.707,0.16,0.752,0.223,0.167,0.412
Supervision schedule,0.321,0.238,0.0,0.344,0.068,0.961,0.091,0.293,0.026,0.171,0.052,0.011,0.028
Outside training area - training and supervision,0.835,0.56,0.532,0.941,0.096,0.033,0.834,0.278,0.058,0.934,0.463,0.472,0.614
Schedule contacts,0.573,0.415,0.001,0.147,0.916,0.145,0.092,0.345,0.621,0.003,0.317,0.025,0.03
60% fieldwork hours,0.325,0.004,0.0,0.334,0.934,0.594,0.92,0.526,0.259,0.642,0.031,0.124,0.021
Confirm required skill set,0.039,0.898,0.343,0.231,0.713,0.3,0.5,0.498,0.105,0.365,0.932,0.68,0.993
Practice skill set,0.811,0.346,0.837,0.617,0.494,0.69,0.054,0.077,0.042,0.084,0.814,0.275,0.742
Behavior skills training,0.308,0.196,0.227,0.612,0.336,0.112,0.003,0.289,0.191,0.854,0.889,0.122,0.032
Written supervision contract,0.007,0.0,0.236,0.51,1.0,0.0,0.0,0.839,0.927,0.801,0.127,0.38,0.006
Supervision termination clause,0.223,0.0,0.423,0.012,0.975,0.0,0.0,0.66,0.717,0.88,0.286,0.301,0.006
Performance expectations,0.449,0.181,0.076,0.908,0.944,0.149,0.005,0.353,0.396,0.699,0.579,0.396,0.488
Instructions and demonstration,0.988,0.903,0.32,0.644,0.571,0.742,0.023,0.693,0.44,0.117,0.463,0.171,0.19
Positive and corrective feedback,0.494,0.084,0.073,0.557,0.234,0.248,0.0,0.612,0.399,0.097,0.601,0.247,0.05
Written evaluation system,0.95,0.954,0.815,0.635,0.426,0.644,0.191,0.377,0.35,0.052,0.261,0.387,0.844
Document feedback,0.56,0.919,0.732,0.228,0.084,0.505,0.212,0.867,0.264,0.163,0.257,0.656,0.932
Immediate feedback,0.762,0.674,0.15,0.551,0.868,0.38,0.059,0.487,0.104,0.149,0.416,0.253,0.049
Evaluate supervisee performance,0.869,0.155,0.28,0.89,0.028,0.252,0.334,0.09,0.184,0.154,0.273,0.712,0.493
Evaluate client performance,0.901,0.732,0.892,0.759,0.49,0.39,0.336,0.413,0.292,0.138,0.074,0.95,0.753
Supervision fidelity,0.107,0.6,0.788,0.439,0.477,0.6,0.51,0.266,0.213,0.318,0.038,0.655,0.341
