,Supervision fieldwork protocol source
Literature for new competency area,0.30985556250006496
Professional groups,0.30985556250006496
Outside training area - credentialing requirements,
Supervision schedule,0.36334064124394655
Outside training area - training and supervision,
Supervision schedule,0.36334064124394655
Schedule contacts,0.30985556250006496
60% fieldwork hours,0.5412916620221584
Confirm required skill set,0.40950434808421354
Practice skill set,0.9135802469135802
Behavior skills training,0.5412916620221584
Written supervision contract,0.9135802469135802
Supervision termination clause,0.36334064124394655
Performance expectations,0.30985556250006496
Instructions and demonstration,0.6949963676535128
Positive and corrective feedback,0.9135802469135802
Written evaluation system,0.6949963676535128
Document feedback,0.30985556250006496
Immediate feedback,0.30985556250006496
Evaluate supervisee performance,0.30985556250006496
Evaluate client performance,0.40950434808421354
Supervision fidelity,0.9135802469135802
Peer evaluate,0.9954417475792054
Take baseline,0.9135802469135802
Detect barriers to supervision,0.9135802469135802
BST case presentation,0.6949963676535128
Send agenda,0.30985556250006496
Meeting notes,0.9135802469135802
Return communications within 48 hours,0.40950434808421354
Discourage distractions,0.9135802469135802
Observe body language,0.30985556250006496
Maintain positive rapport,0.30985556250006496
Self-assess interpersonal skills,0.9135802469135802
Group supervision,0.5412916620221584
Create group activities,0.36334064124394655
Include ethics,0.30985556250006496
Arrive on time,0.9135802469135802
Discuss how to give feedback,0.5412916620221584
Schedule direct observations,0.9135802469135802
Schedule standing supervision appointments,0.6949963676535128
Continue professional relationship,0.9135802469135802
Review literature,0.9135802469135802
Attend conferences,0.30985556250006496
Participate in peer review,0.40950434808421354
Seek mentorship,0.30985556250006496
Supervisory study groups,0.40950434808421354
