,M,SD,F,p
0-5 years,3.86,0.34,1.07,0.38
11-15 years,3.87,0.31,1.07,0.38
16-20 years,4.02,0.42,1.07,0.38
21-25 years,4.11,0.23,1.07,0.38
26-30 years,3.5,0.0,1.07,0.38
6-10 years,3.89,0.36,1.07,0.38
0-5 years,3.87,0.34,0.88,0.49
11-15 years,3.84,0.39,0.88,0.49
16-20 years,4.11,0.23,0.88,0.49
21-25 years,3.88,0.0,0.88,0.49
26-30 years,3.5,0.0,0.88,0.49
6-10 years,3.91,0.33,0.88,0.49
Behavior analysis,3.91,0.32,3.17,0.01
Counseling,3.92,0.25,3.17,0.01
Education,3.88,0.32,3.17,0.01
Other,3.72,0.39,3.17,0.01
Psychology,3.83,0.4,3.17,0.01
Behavior analyst,3.86,0.34,2.14,0.05
Counselor,3.37,1.17,2.14,0.05
Other,3.95,0.3,2.14,0.05
Professor,3.99,0.2,2.14,0.05
Psychologist,3.81,0.32,2.14,0.05
Researcher,4.04,0.43,2.14,0.05
Teacher,3.94,0.16,2.14,0.05
Clinic,3.86,0.37,2.49,0.06
Home-based,3.84,0.35,2.49,0.06
Other,3.89,0.32,2.49,0.06
University or college,3.98,0.32,2.49,0.06
Midwest,3.95,0.37,1.67,0.16
Northeast,3.81,0.35,1.67,0.16
Outside US,3.93,0.34,1.67,0.16
South,3.88,0.35,1.67,0.16
West,3.86,0.4,1.67,0.16
Group and Individual fieldwork,3.97,0.35,6.71,.00
Group fieldwork,3.55,0.8,6.71,.00
Individual fieldwork,3.83,0.35,6.71,.00
Intensive practicum,3.84,0.33,6.71,.00
1-3 candidates,3.85,0.38,5.71,.00
12+ candidates,4.33,0.33,5.71,.00
4-7 candidates,4.01,0.36,5.71,.00
7-11 candidates,3.69,0.72,5.71,.00
1-3 candidates,3.84,0.42,3.96,0.01
12+ candidates,4.18,0.48,3.96,0.01
4-7 candidates,3.93,0.36,3.96,0.01
7-11 candidates,3.92,0.34,3.96,0.01
0 hours,3.77,0.41,5.98,.00
1-5 hours a week,3.84,0.4,5.98,.00
11-15 hours a week,4.07,0.42,5.98,.00
16+ hours a week,4.12,0.4,5.98,.00
6-10 hours a week,3.99,0.36,5.98,.00
0 hours,3.67,0.18,9.51,.00
1-5 hours a week,3.8,0.42,9.51,.00
11-15 hours a week,4.11,0.33,9.51,.00
16+ hours a week,4.3,0.38,9.51,.00
6-10 hours a week,3.95,0.37,9.51,.00
1-3 clients/consumers,3.83,0.41,1.75,0.14
12+ clients/consumers,3.83,0.41,1.75,0.14
4-7 clients/consumers,3.94,0.43,1.75,0.14
7-11 clients/consumer,3.89,0.43,1.75,0.14
I do not provide consultation to clients/consumers,4.0,0.31,1.75,0.14
Employer,3.85,0.42,1.12,0.33
I do not provide consultation to clients/consumers,3.96,0.36,1.12,0.33
Self,3.9,0.41,1.12,0.33
10% of patient's direct services,3.88,0.45,1.53,0.19
15% of patient's direct services,3.92,0.46,1.53,0.19
20% of patient's direct services,3.95,0.4,1.53,0.19
5% of patient's direct services,3.78,0.4,1.53,0.19
I do not supervise RBTs.,3.89,0.39,1.53,0.19
