,M,SD,F,p
0-5 years,4.23,0.48,0.43,0.83
11-15 years,4.23,0.45,0.43,0.83
16-20 years,4.37,0.39,0.43,0.83
21-25 years,3.95,0.28,0.43,0.83
26-30 years,4.0,0.0,0.43,0.83
6-10 years,4.24,0.49,0.43,0.83
0-5 years,4.23,0.48,0.37,0.87
11-15 years,4.16,0.45,0.37,0.87
16-20 years,4.39,0.2,0.37,0.87
21-25 years,4.24,0.0,0.37,0.87
26-30 years,4.0,0.0,0.37,0.87
6-10 years,4.27,0.47,0.37,0.87
Behavior analysis,4.25,0.49,0.89,0.47
Counseling,4.38,0.4,0.89,0.47
Education,4.22,0.44,0.89,0.47
Other,4.16,0.6,0.89,0.47
Psychology,4.23,0.48,0.89,0.47
Behavior analyst,4.23,0.49,1.0,0.42
Counselor,4.0,1.0,1.0,0.42
Other,4.35,0.44,1.0,0.42
Professor,4.27,0.43,1.0,0.42
Psychologist,4.1,0.37,1.0,0.42
Researcher,4.43,0.29,1.0,0.42
Teacher,4.34,0.19,1.0,0.42
Clinic,4.22,0.49,0.62,0.6
Home-based,4.21,0.49,0.62,0.6
Other,4.25,0.46,0.62,0.6
University or college,4.3,0.43,0.62,0.6
Midwest,4.17,0.63,1.28,0.28
Northeast,4.18,0.49,1.28,0.28
Outside US,4.19,0.43,1.28,0.28
South,4.3,0.47,1.28,0.28
West,4.24,0.52,1.28,0.28
Group and Individual fieldwork,4.28,0.5,0.88,0.45
Group fieldwork,4.12,0.72,0.88,0.45
Individual fieldwork,4.21,0.51,0.88,0.45
Intensive practicum,4.2,0.48,0.88,0.45
1-3 candidates,4.22,0.55,3.54,0.01
12+ candidates,4.77,0.31,3.54,0.01
4-7 candidates,4.34,0.53,3.54,0.01
7-11 candidates,3.89,0.7,3.54,0.01
1-3 candidates,4.21,0.58,0.69,0.56
12+ candidates,4.36,0.59,0.69,0.56
4-7 candidates,4.28,0.55,0.69,0.56
7-11 candidates,4.32,0.6,0.69,0.56
0 hours,4.19,0.61,2.18,0.07
1-5 hours a week,4.19,0.57,2.18,0.07
11-15 hours a week,4.44,0.39,2.18,0.07
16+ hours a week,4.43,0.56,2.18,0.07
6-10 hours a week,4.34,0.53,2.18,0.07
0 hours,3.77,0.48,5.22,.00
1-5 hours a week,4.17,0.59,5.22,.00
11-15 hours a week,4.42,0.53,5.22,.00
16+ hours a week,4.67,0.38,5.22,.00
6-10 hours a week,4.32,0.55,5.22,.00
1-3 clients/consumers,4.13,0.6,0.83,0.5
12+ clients/consumers,4.2,0.59,0.83,0.5
4-7 clients/consumers,4.28,0.54,0.83,0.5
7-11 clients/consumer,4.31,0.52,0.83,0.5
I do not provide consultation to clients/consumers,4.26,0.54,0.83,0.5
Employer,4.21,0.6,0.76,0.47
I do not provide consultation to clients/consumers,4.2,0.63,0.76,0.47
Self,4.28,0.53,0.76,0.47
10% of patient's direct services,4.3,0.57,2.41,0.05
15% of patient's direct services,4.27,0.57,2.41,0.05
20% of patient's direct services,4.41,0.51,2.41,0.05
5% of patient's direct services,4.09,0.62,2.41,0.05
I do not supervise RBTs.,4.22,0.56,2.41,0.05
