group1,group2,meandiff,lower,upper,reject
Behavior analysis,Counseling,0.0024,-0.1917,0.1965,False
Behavior analysis,Education,-0.029,-0.1266,0.0685,False
Behavior analysis,Other,-0.1968,-0.3652,-0.0285,True
Behavior analysis,Psychology,-0.0834,-0.1969,0.0301,False
Counseling,Education,-0.0314,-0.2292,0.1663,False
Counseling,Other,-0.1992,-0.4399,0.0415,False
Counseling,Psychology,-0.0858,-0.2919,0.1203,False
Education,Other,-0.1678,-0.3403,0.0047,False
Education,Psychology,-0.0544,-0.174,0.0652,False
Other,Psychology,0.1134,-0.0686,0.2955,False
