group1,group2,meandiff,lower,upper,reject
Behavior analyst,Counselor,-1.0316,-1.8787,-0.1846,True
Behavior analyst,Other,0.0172,-0.1875,0.2219,False
Behavior analyst,Professor,0.1361,-0.097,0.3691,False
Behavior analyst,Psychologist,-0.1082,-0.3752,0.1588,False
Behavior analyst,Researcher,0.2408,-0.2145,0.6962,False
Behavior analyst,Teacher,0.028,-0.3984,0.4544,False
Counselor,Other,1.0488,0.1812,1.9165,True
Counselor,Professor,1.1677,0.293,2.0424,True
Counselor,Psychologist,0.9235,0.039,1.8079,True
Counselor,Researcher,1.2725,0.3142,2.2307,True
Counselor,Teacher,1.0596,0.1148,2.0045,True
Other,Professor,0.1189,-0.1805,0.4182,False
Other,Psychologist,-0.1254,-0.4519,0.2011,False
Other,Researcher,0.2236,-0.269,0.7162,False
Other,Teacher,0.0108,-0.4552,0.4768,False
Professor,Psychologist,-0.2442,-0.5893,0.1008,False
Professor,Researcher,0.1048,-0.4003,0.6098,False
Professor,Teacher,-0.1081,-0.5872,0.371,False
Psychologist,Researcher,0.349,-0.1726,0.8706,False
Psychologist,Teacher,0.1362,-0.3604,0.6327,False
Researcher,Teacher,-0.2128,-0.8314,0.4057,False
