,rho,p-val
Literature for new competency area,0.039,0.589
Professional groups,0.041,0.571
Outside training area - credentialing requirements,0.353,0.027
Supervision schedule,0.022,0.763
Outside training area - training and supervision,0.35,0.029
Schedule contacts,0.087,0.235
60% fieldwork hours,-0.038,0.602
Confirm required skill set,0.037,0.614
Practice skill set,0.177,0.015
Behavior skills training,-0.044,0.55
Written supervision contract,-0.013,0.862
Supervision termination clause,-0.024,0.746
Performance expectations,-0.064,0.383
Instructions and demonstration,0.122,0.094
Positive and corrective feedback,-0.004,0.958
Written evaluation system,0.028,0.698
Document feedback,0.03,0.676
Immediate feedback,0.075,0.302
Evaluate supervisee performance,-0.072,0.322
Evaluate client performance,-0.16,0.028
Supervision fidelity,-0.072,0.326
Peer evaluate,-0.12,0.099
Take baseline,0.002,0.976
Detect barriers to supervision,0.119,0.102
BST case presentation,-0.071,0.333
Send agenda,0.047,0.524
Meeting notes,0.011,0.882
Return communications within 48 hours,-0.025,0.731
Discourage distractions,0.038,0.604
Observe body language,0.05,0.49
Maintain positive rapport,-0.041,0.576
Self-assess interpersonal skills,0.086,0.239
Group supervision,0.009,0.903
Create group activities,0.066,0.365
Include ethics,0.186,0.01
Arrive on time,0.052,0.479
Discuss how to give feedback,0.106,0.146
Schedule direct observations,0.125,0.085
Schedule standing supervision appointments,0.049,0.504
Continue professional relationship,0.055,0.45
Review literature,0.196,0.007
Attend conferences,0.159,0.028
Participate in peer review,0.172,0.084
Seek mentorship,0.061,0.401
Supervisory study groups,0.029,0.689
