group1,group2,meandiff,lower,upper,reject
Behavior analyst,Counselor,-0.3954,-1.5358,0.7449,False
Behavior analyst,Other,0.1987,-0.0768,0.4743,False
Behavior analyst,Professor,0.2998,-0.0139,0.6135,False
Behavior analyst,Psychologist,-0.0628,-0.4223,0.2967,False
Behavior analyst,Researcher,0.1815,-0.4316,0.7945,False
Behavior analyst,Teacher,0.2016,-0.3725,0.7757,False
Counselor,Other,0.5942,-0.5739,1.7622,False
Counselor,Professor,0.6952,-0.4824,1.8729,False
Counselor,Psychologist,0.3326,-0.858,1.5233,False
Counselor,Researcher,0.5769,-0.7132,1.867,False
Counselor,Teacher,0.597,-0.675,1.869,False
Other,Professor,0.1011,-0.3019,0.5041,False
Other,Psychologist,-0.2615,-0.7011,0.1781,False
Other,Researcher,-0.0173,-0.6804,0.6459,False
Other,Teacher,0.0028,-0.6245,0.6302,False
Professor,Psychologist,-0.3626,-0.8271,0.1019,False
Professor,Researcher,-0.1183,-0.7983,0.5616,False
Professor,Teacher,-0.0982,-0.7433,0.5468,False
Psychologist,Researcher,0.2443,-0.458,0.9465,False
Psychologist,Teacher,0.2644,-0.4041,0.9329,False
Researcher,Teacher,0.0201,-0.8126,0.8528,False
