,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
1,Yes,3-5 years,3-5 years,Psychology,,Counselor,,Home-based,,West,University,,Group fieldwork,Individual mentoring,,5.0,5.0,5.0,Monetary compensation,,3.0,7-11 candidates,3.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,2.0,Employer,Yes,15% of patient's direct services,3.0,1-3 candidates,2.0,1-5 hours a week,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,"Mentorship,Live CEU events",,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,1.0,2.0,Psychology,Counselor,Home-based,University,Individual mentoring,Monetary compensation,"Mentorship,Live CEU events",3.1930232558139533,2.25,2.5,1.8,2.0,3.0,2.75,2.1923076923076925
3,Yes,0-2 years,0-2 years,Psychology,,Behavior analyst,,Home-based,,South,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,2.0,2.0,0.0,"Administrative assistance,Training on supervision practices,Supervision Curriculum",,4.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,11-15 hours a week,12+ clients/consumers,3.0,Self,Yes,20% of patient's direct services,5.0,1-3 candidates,1.0,11-15 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Published supervision curriculum",,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,No,3.3248407643312103,4.0,Psychology,Behavior analyst,Home-based,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Training on supervision practices,Supervision Curriculum","Graduate course work material,Published supervision curriculum",3.3930232558139535,3.5,4.0,3.4,4.2,5.0,5.0,4.0124938755512005
4,Yes,>5 years,>5 years,Education,,Behavior analyst,,Other,,West,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum",,5.0,1-3 candidates,5.0,3.0,Yes,5.0,5.0,0 hours,12+ clients/consumers,5.0,Employer,Yes,5% of patient's direct services,4.0,1-3 candidates,4.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,5.0,Education,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training",3.8,4.25,5.0,3.4,4.6,5.0,4.25,4.346153846153846
5,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,University or college,,South,University,,Intensive practicum,Internet based continuing education,,11.0,11.0,0.0,Other,There is no option to select 'none',2.0,1-3 candidates,4.0,2.0,Yes,5.0,5.0,1-5 hours a week,I do not provide consultation to clients/consumers,5.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,2.0,1-3 candidates,5.0,6-10 hours a week,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,"Graduate course work material,Online CEU training",,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,Yes,3.0,4.0,Behavior analysis,Behavior analyst,University or college,University,Internet based continuing education,OtherThere is no option to select 'none',"Graduate course work material,Online CEU training",3.4,5.0,3.0,4.2,4.6,4.5,3.25,4.038461538461538
6,Yes,3-5 years,3-5 years,Behavior analysis,,Professor,,University or college,,West,"Agency,Individual private practice",,Group and Individual fieldwork,"Conferences or workshops,Individual mentoring",,7.0,7.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback,Monetary compensation",,5.0,1-3 candidates,5.0,5.0,Yes,5.0,5.0,1-5 hours a week,1-3 clients/consumers,4.0,Self,No,I do not supervise RBTs.,3.0,1-3 candidates,4.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,Yes,4.0,4.0,Behavior analysis,Professor,University or college,"Agency,Individual private practice","Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback,Monetary compensation","Graduate course work material,Mentorship",4.2,4.25,5.0,4.2,4.4,5.0,5.0,4.153846153846154
7,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Home-based,,West,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,5.0,2.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum",,5.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,4-7 clients/consumers,5.0,Self,Yes,20% of patient's direct services,3.0,1-3 candidates,3.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Yes,2.0,5.0,Behavior analysis,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.5930232558139537,4.5,5.0,3.4,4.8,5.0,4.75,4.115384615384615
8,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,Northeast,"Agency,Individual private practice",,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,1.0,0.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,4.0,1-3 candidates,4.0,1.0,Yes,4.0,5.0,1-5 hours a week,12+ clients/consumers,5.0,Employer,No,I do not supervise RBTs.,3.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,"Online CEU training,Published supervision curriculum",,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,Yes,4.0,4.0,Behavior analysis,Behavior analyst,Other,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops","Training on supervision practices,Monetary compensation,Supervision Curriculum","Online CEU training,Published supervision curriculum",3.0,4.75,4.0,3.2,4.2,4.666666666666667,4.25,3.769230769230769
9,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,Midwest,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,4.0,4.0,0.0,Supervision Curriculum,,3.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,No,5% of patient's direct services,2.0,1-3 candidates,4.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Yes,3.0,3.0,Education,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring",Supervision Curriculum,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",3.3930232558139535,4.25,4.0,3.4,4.2,4.166666666666667,3.25,3.769230769230769
10,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Clinic,,South,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,1.0,0.0,"Administrative assistance,Training on supervision practices,Performance feedback",,5.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,4.0,Employer,Yes,20% of patient's direct services,2.0,1-3 candidates,4.0,6-10 hours a week,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,Yes,4.0,3.0,Psychology,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Administrative assistance,Training on supervision practices,Performance feedback","Graduate course work material,Mentorship,Live CEU events,Online CEU training",4.193023255813953,4.25,4.5,4.0,4.6,4.333333333333333,4.25,4.076923076923077
13,Yes,>5 years,>5 years,Education,,Behavior analyst,,Home-based,,West,Individual private practice,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,2.0,2.0,0.0,Other,experience,1.0,1-3 candidates,1.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Self,Yes,10% of patient's direct services,1.0,1-3 candidates,5.0,1-5 hours a week,1.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,Online CEU training,,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,4.0,No,3.3248407643312103,1.0,Education,Behavior analyst,Home-based,Individual private practice,"Internet based continuing education,Conferences or workshops",Otherexperience,Online CEU training,2.3930232558139535,4.0,1.0,2.6,2.6,3.0,1.0,2.7432631063204314
